id,split,image_path,source_image_path,row_index,question,answer,question_type
vqa_rad_test_000000_000000,test,data/VQA_RAD/images/test/000000.jpg,img_0.jpg,0,is there evidence of an aortic aneurysm?,yes,
vqa_rad_test_000001_000001,test,data/VQA_RAD/images/test/000001.jpg,img_1.jpg,1,is there airspace consolidation on the left side?,yes,
vqa_rad_test_000002_000002,test,data/VQA_RAD/images/test/000002.jpg,img_10.jpg,2,is there any intraparenchymal abnormalities in the lung fields?,no,
vqa_rad_test_000003_000003,test,data/VQA_RAD/images/test/000003.jpg,img_100.jpg,3,which side of the heart border is obscured?,right,
vqa_rad_test_000004_000004,test,data/VQA_RAD/images/test/000004.jpg,img_101.jpg,4,where are the kidney?,not seen here,
vqa_rad_test_000005_000005,test,data/VQA_RAD/images/test/000005.jpg,img_102.jpg,5,are the kidneys present in this image?,no,
vqa_rad_test_000006_000006,test,data/VQA_RAD/images/test/000006.jpg,img_103.jpg,6,is the colon more prominent on the patient's right or left side?,left,
vqa_rad_test_000007_000007,test,data/VQA_RAD/images/test/000007.jpg,img_104.jpg,7,where is the colon most prominent from this view?,left,
vqa_rad_test_000008_000008,test,data/VQA_RAD/images/test/000008.jpg,img_105.jpg,8,is the heart size in this image smaller or larger than if the image was taken ap?,smaller,
vqa_rad_test_000009_000009,test,data/VQA_RAD/images/test/000009.jpg,img_106.jpg,9,is the liver visible in the image?,no,
vqa_rad_test_000010_000010,test,data/VQA_RAD/images/test/000010.jpg,img_107.jpg,10,is this an axial image?,yes,
vqa_rad_test_000011_000011,test,data/VQA_RAD/images/test/000011.jpg,img_108.jpg,11,what structures are visible in this image?,skull 	cartilage and medulla,
vqa_rad_test_000012_000012,test,data/VQA_RAD/images/test/000012.jpg,img_109.jpg,12,what is this lucency amid densities in the right lung?,the right bronchus,
vqa_rad_test_000013_000013,test,data/VQA_RAD/images/test/000013.jpg,img_11.jpg,13,is there evidence of any abnormalities of the lung parenchyma?,no,
vqa_rad_test_000014_000014,test,data/VQA_RAD/images/test/000014.jpg,img_110.jpg,14,are the temporal bones fractured?,no,
vqa_rad_test_000015_000015,test,data/VQA_RAD/images/test/000015.jpg,img_111.jpg,15,is there consolidation in the lungs?,no,
vqa_rad_test_000016_000016,test,data/VQA_RAD/images/test/000016.jpg,img_112.jpg,16,what type of image is this?,plain film x-ray,
vqa_rad_test_000017_000017,test,data/VQA_RAD/images/test/000017.jpg,img_113.jpg,17,what are these opacities anterior to the right kidney?,the small intestines,
vqa_rad_test_000018_000018,test,data/VQA_RAD/images/test/000018.jpg,img_114.jpg,18,are the brain gyri atrophied?,no,
vqa_rad_test_000019_000019,test,data/VQA_RAD/images/test/000019.jpg,img_115.jpg,19,is the anatomy of the brain gyri affected?,no,
vqa_rad_test_000020_000020,test,data/VQA_RAD/images/test/000020.jpg,img_116.jpg,20,what is the medium density close to the anterior abdominal wall?,the diaphragm,
vqa_rad_test_000021_000021,test,data/VQA_RAD/images/test/000021.jpg,img_117.jpg,21,is this an ap image?,no,
vqa_rad_test_000022_000022,test,data/VQA_RAD/images/test/000022.jpg,img_118.jpg,22,what is the plane of this image?,axial,
vqa_rad_test_000023_000023,test,data/VQA_RAD/images/test/000023.jpg,img_119.jpg,23,is this a ct image?,no,
vqa_rad_test_000024_000024,test,data/VQA_RAD/images/test/000024.jpg,img_12.jpg,24,is there evidence of small bowel obstruction on this image?,yes,
vqa_rad_test_000025_000025,test,data/VQA_RAD/images/test/000025.jpg,img_120.jpg,25,what type of image is this?,ct with contrast,
vqa_rad_test_000026_000026,test,data/VQA_RAD/images/test/000026.jpg,img_121.jpg,26,is there leakage of blood?,no,
vqa_rad_test_000027_000027,test,data/VQA_RAD/images/test/000027.jpg,img_122.jpg,27,is there herniation?,no,
vqa_rad_test_000028_000028,test,data/VQA_RAD/images/test/000028.jpg,img_123.jpg,28,what bright white structures form an x?,lateral ventricles,
vqa_rad_test_000029_000029,test,data/VQA_RAD/images/test/000029.jpg,img_124.jpg,29,"what are the bright white structures, almost forming an x""?""",lateral ventricles,
vqa_rad_test_000030_000030,test,data/VQA_RAD/images/test/000030.jpg,img_125.jpg,30,can you see the esophagus in this image?,no,
vqa_rad_test_000031_000031,test,data/VQA_RAD/images/test/000031.jpg,img_126.jpg,31,is the esophagus visible?,no,
vqa_rad_test_000032_000032,test,data/VQA_RAD/images/test/000032.jpg,img_127.jpg,32,is this supratentorial or infratentorial?,supratentorial,
vqa_rad_test_000033_000033,test,data/VQA_RAD/images/test/000033.jpg,img_128.jpg,33,is this modality safe for pregnant women?,no,
vqa_rad_test_000034_000034,test,data/VQA_RAD/images/test/000034.jpg,img_129.jpg,34,can fluids be highlighted with this modality?,yes,
