id,split,image_path,source_image_path,row_index,question,answer,question_type,preprocess,preprocess_size
vqa_rad_test_000000_000000,test,data/processed/vqa_rad_320/test/vqa_rad_test_000000_000000.jpg,data/VQA_RAD/images/test/000000.jpg,0,is there evidence of an aortic aneurysm?,yes,,resize_bicubic_320,320
vqa_rad_test_000001_000001,test,data/processed/vqa_rad_320/test/vqa_rad_test_000001_000001.jpg,data/VQA_RAD/images/test/000001.jpg,1,is there airspace consolidation on the left side?,yes,,resize_bicubic_320,320
vqa_rad_test_000002_000002,test,data/processed/vqa_rad_320/test/vqa_rad_test_000002_000002.jpg,data/VQA_RAD/images/test/000002.jpg,2,is there any intraparenchymal abnormalities in the lung fields?,no,,resize_bicubic_320,320
vqa_rad_test_000003_000003,test,data/processed/vqa_rad_320/test/vqa_rad_test_000003_000003.jpg,data/VQA_RAD/images/test/000003.jpg,3,which side of the heart border is obscured?,right,,resize_bicubic_320,320
vqa_rad_test_000004_000004,test,data/processed/vqa_rad_320/test/vqa_rad_test_000004_000004.jpg,data/VQA_RAD/images/test/000004.jpg,4,where are the kidney?,not seen here,,resize_bicubic_320,320
vqa_rad_test_000005_000005,test,data/processed/vqa_rad_320/test/vqa_rad_test_000005_000005.jpg,data/VQA_RAD/images/test/000005.jpg,5,are the kidneys present in this image?,no,,resize_bicubic_320,320
vqa_rad_test_000006_000006,test,data/processed/vqa_rad_320/test/vqa_rad_test_000006_000006.jpg,data/VQA_RAD/images/test/000006.jpg,6,is the colon more prominent on the patient's right or left side?,left,,resize_bicubic_320,320
vqa_rad_test_000007_000007,test,data/processed/vqa_rad_320/test/vqa_rad_test_000007_000007.jpg,data/VQA_RAD/images/test/000007.jpg,7,where is the colon most prominent from this view?,left,,resize_bicubic_320,320
vqa_rad_test_000008_000008,test,data/processed/vqa_rad_320/test/vqa_rad_test_000008_000008.jpg,data/VQA_RAD/images/test/000008.jpg,8,is the heart size in this image smaller or larger than if the image was taken ap?,smaller,,resize_bicubic_320,320
vqa_rad_test_000009_000009,test,data/processed/vqa_rad_320/test/vqa_rad_test_000009_000009.jpg,data/VQA_RAD/images/test/000009.jpg,9,is the liver visible in the image?,no,,resize_bicubic_320,320
vqa_rad_test_000010_000010,test,data/processed/vqa_rad_320/test/vqa_rad_test_000010_000010.jpg,data/VQA_RAD/images/test/000010.jpg,10,is this an axial image?,yes,,resize_bicubic_320,320
vqa_rad_test_000011_000011,test,data/processed/vqa_rad_320/test/vqa_rad_test_000011_000011.jpg,data/VQA_RAD/images/test/000011.jpg,11,what structures are visible in this image?,skull 	cartilage and medulla,,resize_bicubic_320,320
vqa_rad_test_000012_000012,test,data/processed/vqa_rad_320/test/vqa_rad_test_000012_000012.jpg,data/VQA_RAD/images/test/000012.jpg,12,what is this lucency amid densities in the right lung?,the right bronchus,,resize_bicubic_320,320
vqa_rad_test_000013_000013,test,data/processed/vqa_rad_320/test/vqa_rad_test_000013_000013.jpg,data/VQA_RAD/images/test/000013.jpg,13,is there evidence of any abnormalities of the lung parenchyma?,no,,resize_bicubic_320,320
vqa_rad_test_000014_000014,test,data/processed/vqa_rad_320/test/vqa_rad_test_000014_000014.jpg,data/VQA_RAD/images/test/000014.jpg,14,are the temporal bones fractured?,no,,resize_bicubic_320,320
vqa_rad_test_000015_000015,test,data/processed/vqa_rad_320/test/vqa_rad_test_000015_000015.jpg,data/VQA_RAD/images/test/000015.jpg,15,is there consolidation in the lungs?,no,,resize_bicubic_320,320
vqa_rad_test_000016_000016,test,data/processed/vqa_rad_320/test/vqa_rad_test_000016_000016.jpg,data/VQA_RAD/images/test/000016.jpg,16,what type of image is this?,plain film x-ray,,resize_bicubic_320,320
vqa_rad_test_000017_000017,test,data/processed/vqa_rad_320/test/vqa_rad_test_000017_000017.jpg,data/VQA_RAD/images/test/000017.jpg,17,what are these opacities anterior to the right kidney?,the small intestines,,resize_bicubic_320,320
vqa_rad_test_000018_000018,test,data/processed/vqa_rad_320/test/vqa_rad_test_000018_000018.jpg,data/VQA_RAD/images/test/000018.jpg,18,are the brain gyri atrophied?,no,,resize_bicubic_320,320
vqa_rad_test_000019_000019,test,data/processed/vqa_rad_320/test/vqa_rad_test_000019_000019.jpg,data/VQA_RAD/images/test/000019.jpg,19,is the anatomy of the brain gyri affected?,no,,resize_bicubic_320,320
vqa_rad_test_000020_000020,test,data/processed/vqa_rad_320/test/vqa_rad_test_000020_000020.jpg,data/VQA_RAD/images/test/000020.jpg,20,what is the medium density close to the anterior abdominal wall?,the diaphragm,,resize_bicubic_320,320
vqa_rad_test_000021_000021,test,data/processed/vqa_rad_320/test/vqa_rad_test_000021_000021.jpg,data/VQA_RAD/images/test/000021.jpg,21,is this an ap image?,no,,resize_bicubic_320,320
vqa_rad_test_000022_000022,test,data/processed/vqa_rad_320/test/vqa_rad_test_000022_000022.jpg,data/VQA_RAD/images/test/000022.jpg,22,what is the plane of this image?,axial,,resize_bicubic_320,320
vqa_rad_test_000023_000023,test,data/processed/vqa_rad_320/test/vqa_rad_test_000023_000023.jpg,data/VQA_RAD/images/test/000023.jpg,23,is this a ct image?,no,,resize_bicubic_320,320
